seed	n_val	n_test	n_full	gt_in_prompt	stepfinder.s42_step@1_val	stepfinder.s42_step@1_test	stepfinder.s42_step@1_full	stepfinder.s42_agent@1_val	stepfinder.s42_agent@1_test	stepfinder.s42_agent@1_full	stepfinder.s43_step@1_val	stepfinder.s43_step@1_test	stepfinder.s43_step@1_full	stepfinder.s43_agent@1_val	stepfinder.s43_agent@1_test	stepfinder.s43_agent@1_full	stepfinder.s44_step@1_val	stepfinder.s44_step@1_test	stepfinder.s44_step@1_full	stepfinder.s44_agent@1_val	stepfinder.s44_agent@1_test	stepfinder.s44_agent@1_full	stepfinder.s45_step@1_val	stepfinder.s45_step@1_test	stepfinder.s45_step@1_full	stepfinder.s45_agent@1_val	stepfinder.s45_agent@1_test	stepfinder.s45_agent@1_full	stepfinder.s46_step@1_val	stepfinder.s46_step@1_test	stepfinder.s46_step@1_full	stepfinder.s46_agent@1_val	stepfinder.s46_agent@1_test	stepfinder.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	17	43	85	False	0.17647058823529413	0.18604651162790697	0.2	0.5294117647058824	0.46511627906976744	0.5411764705882353	0.17647058823529413	0.09302325581395349	0.11764705882352941	0.35294117647058826	0.2558139534883721	0.35294117647058826	0.0	0.046511627906976744	0.03529411764705882	0.17647058823529413	0.2558139534883721	0.24705882352941178	0.17647058823529413	0.18604651162790697	0.18823529411764706	0.5294117647058824	0.4883720930232558	0.5058823529411764	0.35294117647058826	0.13953488372093023	0.18823529411764706	0.6470588235294118	0.5116279069767442	0.5764705882352941	0.18604651162790697	0.5116279069767442	0.2	0.5764705882352941
2	17	43	85	False	0.29411764705882354	0.16279069767441862	0.2	0.6470588235294118	0.5116279069767442	0.5411764705882353	0.11764705882352941	0.11627906976744186	0.11764705882352941	0.35294117647058826	0.37209302325581395	0.35294117647058826	0.058823529411764705	0.023255813953488372	0.03529411764705882	0.11764705882352941	0.3488372093023256	0.24705882352941178	0.17647058823529413	0.18604651162790697	0.18823529411764706	0.5294117647058824	0.46511627906976744	0.5058823529411764	0.11764705882352941	0.11627906976744186	0.18823529411764706	0.47058823529411764	0.5116279069767442	0.5764705882352941	0.18604651162790697	0.5116279069767442	0.2	0.5764705882352941
3	17	43	85	False	0.11764705882352941	0.20930232558139536	0.2	0.5294117647058824	0.5581395348837209	0.5411764705882353	0.058823529411764705	0.13953488372093023	0.11764705882352941	0.35294117647058826	0.32558139534883723	0.35294117647058826	0.058823529411764705	0.023255813953488372	0.03529411764705882	0.35294117647058826	0.20930232558139536	0.24705882352941178	0.058823529411764705	0.2558139534883721	0.18823529411764706	0.29411764705882354	0.627906976744186	0.5058823529411764	0.11764705882352941	0.2558139534883721	0.18823529411764706	0.47058823529411764	0.6744186046511628	0.5764705882352941	0.2558139534883721	0.6744186046511628	0.2	0.5764705882352941
4	17	43	85	False	0.17647058823529413	0.2558139534883721	0.2	0.4117647058823529	0.6976744186046512	0.5411764705882353	0.058823529411764705	0.13953488372093023	0.11764705882352941	0.23529411764705882	0.4418604651162791	0.35294117647058826	0.058823529411764705	0.046511627906976744	0.03529411764705882	0.11764705882352941	0.3023255813953488	0.24705882352941178	0.23529411764705882	0.11627906976744186	0.18823529411764706	0.5882352941176471	0.4186046511627907	0.5058823529411764	0.23529411764705882	0.16279069767441862	0.18823529411764706	0.47058823529411764	0.6046511627906976	0.5764705882352941	0.2558139534883721	0.6976744186046512	0.2	0.5764705882352941
5	17	43	85	False	0.29411764705882354	0.11627906976744186	0.2	0.5294117647058824	0.5581395348837209	0.5411764705882353	0.11764705882352941	0.09302325581395349	0.11764705882352941	0.29411764705882354	0.32558139534883723	0.35294117647058826	0.058823529411764705	0.023255813953488372	0.03529411764705882	0.35294117647058826	0.20930232558139536	0.24705882352941178	0.29411764705882354	0.11627906976744186	0.18823529411764706	0.6470588235294118	0.46511627906976744	0.5058823529411764	0.17647058823529413	0.18604651162790697	0.18823529411764706	0.6470588235294118	0.5348837209302325	0.5764705882352941	0.18604651162790697	0.5581395348837209	0.2	0.5764705882352941
6	17	43	85	False	0.29411764705882354	0.13953488372093023	0.2	0.6470588235294118	0.5581395348837209	0.5411764705882353	0.11764705882352941	0.11627906976744186	0.11764705882352941	0.35294117647058826	0.3488372093023256	0.35294117647058826	0.058823529411764705	0.023255813953488372	0.03529411764705882	0.35294117647058826	0.27906976744186046	0.24705882352941178	0.17647058823529413	0.20930232558139536	0.18823529411764706	0.29411764705882354	0.5348837209302325	0.5058823529411764	0.29411764705882354	0.20930232558139536	0.18823529411764706	0.5294117647058824	0.627906976744186	0.5764705882352941	0.20930232558139536	0.627906976744186	0.2	0.5764705882352941
7	17	43	85	False	0.058823529411764705	0.2558139534883721	0.2	0.5882352941176471	0.5116279069767442	0.5411764705882353	0.11764705882352941	0.06976744186046512	0.11764705882352941	0.5882352941176471	0.20930232558139536	0.35294117647058826	0.058823529411764705	0.0	0.03529411764705882	0.23529411764705882	0.16279069767441862	0.24705882352941178	0.058823529411764705	0.23255813953488372	0.18823529411764706	0.5882352941176471	0.5116279069767442	0.5058823529411764	0.11764705882352941	0.23255813953488372	0.18823529411764706	0.5882352941176471	0.6511627906976745	0.5764705882352941	0.2558139534883721	0.6511627906976745	0.2	0.5764705882352941
8	17	43	85	False	0.17647058823529413	0.18604651162790697	0.2	0.47058823529411764	0.5348837209302325	0.5411764705882353	0.11764705882352941	0.06976744186046512	0.11764705882352941	0.29411764705882354	0.32558139534883723	0.35294117647058826	0.0	0.046511627906976744	0.03529411764705882	0.11764705882352941	0.23255813953488372	0.24705882352941178	0.23529411764705882	0.20930232558139536	0.18823529411764706	0.6470588235294118	0.5116279069767442	0.5058823529411764	0.23529411764705882	0.16279069767441862	0.18823529411764706	0.6470588235294118	0.5116279069767442	0.5764705882352941	0.20930232558139536	0.5348837209302325	0.2	0.5764705882352941
9	17	43	85	False	0.17647058823529413	0.13953488372093023	0.2	0.5294117647058824	0.5116279069767442	0.5411764705882353	0.11764705882352941	0.046511627906976744	0.11764705882352941	0.35294117647058826	0.27906976744186046	0.35294117647058826	0.058823529411764705	0.023255813953488372	0.03529411764705882	0.29411764705882354	0.16279069767441862	0.24705882352941178	0.058823529411764705	0.23255813953488372	0.18823529411764706	0.35294117647058826	0.6046511627906976	0.5058823529411764	0.11764705882352941	0.20930232558139536	0.18823529411764706	0.4117647058823529	0.6744186046511628	0.5764705882352941	0.23255813953488372	0.6744186046511628	0.2	0.5764705882352941
10	17	43	85	False	0.23529411764705882	0.20930232558139536	0.2	0.5882352941176471	0.5581395348837209	0.5411764705882353	0.058823529411764705	0.16279069767441862	0.11764705882352941	0.29411764705882354	0.37209302325581395	0.35294117647058826	0.0	0.046511627906976744	0.03529411764705882	0.17647058823529413	0.23255813953488372	0.24705882352941178	0.29411764705882354	0.16279069767441862	0.18823529411764706	0.5882352941176471	0.4883720930232558	0.5058823529411764	0.058823529411764705	0.18604651162790697	0.18823529411764706	0.6470588235294118	0.5348837209302325	0.5764705882352941	0.20930232558139536	0.5581395348837209	0.2	0.5764705882352941
