seed	n_val	n_test	n_full	gt_in_prompt	errorprobe_step@1_val	errorprobe_step@1_test	errorprobe_step@1_full	errorprobe_agent@1_val	errorprobe_agent@1_test	errorprobe_agent@1_full	errorprobe_bt_step@1_val	errorprobe_bt_step@1_test	errorprobe_bt_step@1_full	errorprobe_bt_agent@1_val	errorprobe_bt_agent@1_test	errorprobe_bt_agent@1_full	errorprobe_paper_step@1_val	errorprobe_paper_step@1_test	errorprobe_paper_step@1_full	errorprobe_paper_agent@1_val	errorprobe_paper_agent@1_test	errorprobe_paper_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
11	17	43	85	True	0.17647058823529413	0.16279069767441862	0.2	0.5882352941176471	0.5813953488372093	0.5176470588235295	0.0	0.0	0.0	0.17647058823529413	0.18604651162790697	0.17647058823529413	0.23529411764705882	0.18604651162790697	0.2	0.7647058823529411	0.4883720930232558	0.5294117647058824	0.18604651162790697	0.5813953488372093	0.2	0.5294117647058824
12	17	43	85	True	0.23529411764705882	0.2558139534883721	0.2	0.35294117647058826	0.6744186046511628	0.5176470588235295	0.0	0.0	0.0	0.17647058823529413	0.16279069767441862	0.17647058823529413	0.29411764705882354	0.20930232558139536	0.2	0.5882352941176471	0.5348837209302325	0.5294117647058824	0.2558139534883721	0.6744186046511628	0.2	0.5294117647058824
13	17	43	85	True	0.11764705882352941	0.18604651162790697	0.2	0.4117647058823529	0.5581395348837209	0.5176470588235295	0.0	0.0	0.0	0.058823529411764705	0.13953488372093023	0.17647058823529413	0.23529411764705882	0.23255813953488372	0.2	0.5294117647058824	0.5581395348837209	0.5294117647058824	0.23255813953488372	0.5581395348837209	0.2	0.5294117647058824
14	17	43	85	True	0.17647058823529413	0.18604651162790697	0.2	0.47058823529411764	0.5116279069767442	0.5176470588235295	0.0	0.0	0.0	0.23529411764705882	0.16279069767441862	0.17647058823529413	0.17647058823529413	0.16279069767441862	0.2	0.47058823529411764	0.627906976744186	0.5294117647058824	0.18604651162790697	0.627906976744186	0.2	0.5294117647058824
15	17	43	85	True	0.11764705882352941	0.27906976744186046	0.2	0.35294117647058826	0.6744186046511628	0.5176470588235295	0.0	0.0	0.0	0.17647058823529413	0.16279069767441862	0.17647058823529413	0.058823529411764705	0.20930232558139536	0.2	0.29411764705882354	0.5581395348837209	0.5294117647058824	0.27906976744186046	0.6744186046511628	0.2	0.5294117647058824
16	17	43	85	True	0.23529411764705882	0.11627906976744186	0.2	0.5294117647058824	0.5116279069767442	0.5176470588235295	0.0	0.0	0.0	0.058823529411764705	0.23255813953488372	0.17647058823529413	0.11764705882352941	0.20930232558139536	0.2	0.5294117647058824	0.5116279069767442	0.5294117647058824	0.20930232558139536	0.5116279069767442	0.2	0.5294117647058824
17	17	43	85	True	0.17647058823529413	0.20930232558139536	0.2	0.4117647058823529	0.5348837209302325	0.5176470588235295	0.0	0.0	0.0	0.17647058823529413	0.13953488372093023	0.17647058823529413	0.058823529411764705	0.23255813953488372	0.2	0.47058823529411764	0.5348837209302325	0.5294117647058824	0.23255813953488372	0.5348837209302325	0.2	0.5294117647058824
18	17	43	85	True	0.11764705882352941	0.2558139534883721	0.2	0.47058823529411764	0.6046511627906976	0.5176470588235295	0.0	0.0	0.0	0.29411764705882354	0.16279069767441862	0.17647058823529413	0.17647058823529413	0.2558139534883721	0.2	0.4117647058823529	0.5813953488372093	0.5294117647058824	0.2558139534883721	0.6046511627906976	0.2	0.5294117647058824
19	17	43	85	True	0.23529411764705882	0.20930232558139536	0.2	0.47058823529411764	0.5116279069767442	0.5176470588235295	0.0	0.0	0.0	0.11764705882352941	0.23255813953488372	0.17647058823529413	0.35294117647058826	0.06976744186046512	0.2	0.6470588235294118	0.4186046511627907	0.5294117647058824	0.20930232558139536	0.5116279069767442	0.2	0.5294117647058824
20	17	43	85	True	0.17647058823529413	0.23255813953488372	0.2	0.4117647058823529	0.5348837209302325	0.5176470588235295	0.0	0.0	0.0	0.17647058823529413	0.23255813953488372	0.17647058823529413	0.23529411764705882	0.2558139534883721	0.2	0.5882352941176471	0.5581395348837209	0.5294117647058824	0.2558139534883721	0.5581395348837209	0.2	0.5294117647058824
