seed	n_val	n_test	n_full	gt_in_prompt	oat.s42_step@1_val	oat.s42_step@1_test	oat.s42_step@1_full	oat.s42_agent@1_val	oat.s42_agent@1_test	oat.s42_agent@1_full	oat.s43_step@1_val	oat.s43_step@1_test	oat.s43_step@1_full	oat.s43_agent@1_val	oat.s43_agent@1_test	oat.s43_agent@1_full	oat.s44_step@1_val	oat.s44_step@1_test	oat.s44_step@1_full	oat.s44_agent@1_val	oat.s44_agent@1_test	oat.s44_agent@1_full	oat.s45_step@1_val	oat.s45_step@1_test	oat.s45_step@1_full	oat.s45_agent@1_val	oat.s45_agent@1_test	oat.s45_agent@1_full	oat.s46_step@1_val	oat.s46_step@1_test	oat.s46_step@1_full	oat.s46_agent@1_val	oat.s46_agent@1_test	oat.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	9	22	44	False	0.1111111111111111	0.2727272727272727	0.18181818181818182	0.6666666666666666	0.7272727272727273	0.6363636363636364	0.1111111111111111	0.22727272727272727	0.1590909090909091	0.5555555555555556	0.6818181818181818	0.5681818181818182	0.0	0.18181818181818182	0.11363636363636363	0.6666666666666666	0.6363636363636364	0.5681818181818182	0.0	0.22727272727272727	0.1590909090909091	0.6666666666666666	0.6818181818181818	0.5909090909090909	0.1111111111111111	0.18181818181818182	0.13636363636363635	0.6666666666666666	0.6818181818181818	0.5909090909090909	0.2727272727272727	0.7272727272727273	0.18181818181818182	0.6363636363636364
2	9	22	44	False	0.1111111111111111	0.13636363636363635	0.18181818181818182	0.5555555555555556	0.5454545454545454	0.6363636363636364	0.1111111111111111	0.13636363636363635	0.1590909090909091	0.5555555555555556	0.5	0.5681818181818182	0.1111111111111111	0.09090909090909091	0.11363636363636363	0.5555555555555556	0.5	0.5681818181818182	0.1111111111111111	0.18181818181818182	0.1590909090909091	0.6666666666666666	0.5	0.5909090909090909	0.1111111111111111	0.09090909090909091	0.13636363636363635	0.6666666666666666	0.5	0.5909090909090909	0.18181818181818182	0.5454545454545454	0.18181818181818182	0.6363636363636364
3	9	22	44	False	0.2222222222222222	0.18181818181818182	0.18181818181818182	0.6666666666666666	0.7272727272727273	0.6363636363636364	0.2222222222222222	0.13636363636363635	0.1590909090909091	0.6666666666666666	0.6363636363636364	0.5681818181818182	0.2222222222222222	0.09090909090909091	0.11363636363636363	0.6666666666666666	0.5909090909090909	0.5681818181818182	0.2222222222222222	0.18181818181818182	0.1590909090909091	0.6666666666666666	0.6363636363636364	0.5909090909090909	0.2222222222222222	0.09090909090909091	0.13636363636363635	0.6666666666666666	0.6363636363636364	0.5909090909090909	0.18181818181818182	0.7272727272727273	0.18181818181818182	0.6363636363636364
4	9	22	44	False	0.0	0.13636363636363635	0.18181818181818182	0.4444444444444444	0.6363636363636364	0.6363636363636364	0.0	0.09090909090909091	0.1590909090909091	0.4444444444444444	0.5454545454545454	0.5681818181818182	0.0	0.045454545454545456	0.11363636363636363	0.3333333333333333	0.5909090909090909	0.5681818181818182	0.0	0.09090909090909091	0.1590909090909091	0.4444444444444444	0.5909090909090909	0.5909090909090909	0.0	0.09090909090909091	0.13636363636363635	0.4444444444444444	0.5909090909090909	0.5909090909090909	0.13636363636363635	0.6363636363636364	0.18181818181818182	0.6363636363636364
5	9	22	44	False	0.2222222222222222	0.18181818181818182	0.18181818181818182	0.7777777777777778	0.6818181818181818	0.6363636363636364	0.1111111111111111	0.18181818181818182	0.1590909090909091	0.5555555555555556	0.5909090909090909	0.5681818181818182	0.0	0.13636363636363635	0.11363636363636363	0.6666666666666666	0.5909090909090909	0.5681818181818182	0.0	0.18181818181818182	0.1590909090909091	0.6666666666666666	0.5909090909090909	0.5909090909090909	0.1111111111111111	0.13636363636363635	0.13636363636363635	0.6666666666666666	0.5909090909090909	0.5909090909090909	0.18181818181818182	0.6818181818181818	0.18181818181818182	0.6363636363636364
6	9	22	44	False	0.1111111111111111	0.2727272727272727	0.18181818181818182	0.5555555555555556	0.7727272727272727	0.6363636363636364	0.0	0.2727272727272727	0.1590909090909091	0.3333333333333333	0.7272727272727273	0.5681818181818182	0.0	0.18181818181818182	0.11363636363636363	0.3333333333333333	0.7727272727272727	0.5681818181818182	0.1111111111111111	0.22727272727272727	0.1590909090909091	0.3333333333333333	0.7727272727272727	0.5909090909090909	0.0	0.22727272727272727	0.13636363636363635	0.3333333333333333	0.7727272727272727	0.5909090909090909	0.2727272727272727	0.7727272727272727	0.18181818181818182	0.6363636363636364
7	9	22	44	False	0.1111111111111111	0.18181818181818182	0.18181818181818182	0.4444444444444444	0.6818181818181818	0.6363636363636364	0.1111111111111111	0.13636363636363635	0.1590909090909091	0.5555555555555556	0.5	0.5681818181818182	0.0	0.13636363636363635	0.11363636363636363	0.4444444444444444	0.5454545454545454	0.5681818181818182	0.1111111111111111	0.13636363636363635	0.1590909090909091	0.5555555555555556	0.5454545454545454	0.5909090909090909	0.1111111111111111	0.13636363636363635	0.13636363636363635	0.5555555555555556	0.5454545454545454	0.5909090909090909	0.18181818181818182	0.6818181818181818	0.18181818181818182	0.6363636363636364
8	9	22	44	False	0.1111111111111111	0.13636363636363635	0.18181818181818182	0.7777777777777778	0.6363636363636364	0.6363636363636364	0.1111111111111111	0.13636363636363635	0.1590909090909091	0.6666666666666666	0.5909090909090909	0.5681818181818182	0.1111111111111111	0.13636363636363635	0.11363636363636363	0.6666666666666666	0.5909090909090909	0.5681818181818182	0.1111111111111111	0.18181818181818182	0.1590909090909091	0.6666666666666666	0.5909090909090909	0.5909090909090909	0.1111111111111111	0.13636363636363635	0.13636363636363635	0.6666666666666666	0.5909090909090909	0.5909090909090909	0.18181818181818182	0.6363636363636364	0.18181818181818182	0.6363636363636364
9	9	22	44	False	0.2222222222222222	0.18181818181818182	0.18181818181818182	0.7777777777777778	0.5909090909090909	0.6363636363636364	0.1111111111111111	0.18181818181818182	0.1590909090909091	0.6666666666666666	0.5454545454545454	0.5681818181818182	0.1111111111111111	0.09090909090909091	0.11363636363636363	0.6666666666666666	0.5454545454545454	0.5681818181818182	0.1111111111111111	0.18181818181818182	0.1590909090909091	0.6666666666666666	0.5454545454545454	0.5909090909090909	0.1111111111111111	0.13636363636363635	0.13636363636363635	0.6666666666666666	0.5454545454545454	0.5909090909090909	0.18181818181818182	0.5909090909090909	0.18181818181818182	0.6363636363636364
10	9	22	44	False	0.3333333333333333	0.22727272727272727	0.18181818181818182	0.6666666666666666	0.6818181818181818	0.6363636363636364	0.3333333333333333	0.18181818181818182	0.1590909090909091	0.5555555555555556	0.5909090909090909	0.5681818181818182	0.2222222222222222	0.13636363636363635	0.11363636363636363	0.6666666666666666	0.5909090909090909	0.5681818181818182	0.2222222222222222	0.18181818181818182	0.1590909090909091	0.6666666666666666	0.5909090909090909	0.5909090909090909	0.3333333333333333	0.13636363636363635	0.13636363636363635	0.6666666666666666	0.5909090909090909	0.5909090909090909	0.22727272727272727	0.6818181818181818	0.18181818181818182	0.6363636363636364
