model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3-embedding-0.6b	hand-crafted	stepfinder-pca.s42	DONE	58	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder-pca.s43	DONE	58	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder-pca.s44	DONE	58	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder-pca.s45	DONE	58	58	0	0
qwen3-embedding-0.6b	hand-crafted	stepfinder-pca.s46	DONE	58	58	0	0
qwen3-embedding-0.6b	algorithm-generated	stepfinder-pca.s42	DONE	126	126	0	0
qwen3-embedding-0.6b	algorithm-generated	stepfinder-pca.s43	DONE	126	126	0	0
qwen3-embedding-0.6b	algorithm-generated	stepfinder-pca.s44	DONE	126	126	0	0
qwen3-embedding-0.6b	algorithm-generated	stepfinder-pca.s45	DONE	126	126	0	0
qwen3-embedding-0.6b	algorithm-generated	stepfinder-pca.s46	DONE	126	126	0	0
qwen3.5-9b	hand-crafted	stepfinder-pca.s42	DONE	58	58	0	0
qwen3.5-9b	hand-crafted	stepfinder-pca.s43	DONE	58	58	0	0
qwen3.5-9b	hand-crafted	stepfinder-pca.s44	DONE	58	58	0	0
qwen3.5-9b	hand-crafted	stepfinder-pca.s45	DONE	58	58	0	0
qwen3.5-9b	hand-crafted	stepfinder-pca.s46	DONE	58	58	0	0
qwen3.5-9b	algorithm-generated	stepfinder-pca.s42	DONE	126	126	0	0
qwen3.5-9b	algorithm-generated	stepfinder-pca.s43	DONE	126	126	0	0
qwen3.5-9b	algorithm-generated	stepfinder-pca.s44	DONE	126	126	0	0
qwen3.5-9b	algorithm-generated	stepfinder-pca.s45	DONE	126	126	0	0
qwen3.5-9b	algorithm-generated	stepfinder-pca.s46	DONE	126	126	0	0
deepseek-8b	hand-crafted	stepfinder-pca.s42	DONE	58	58	0	0
deepseek-8b	hand-crafted	stepfinder-pca.s43	DONE	58	58	0	0
deepseek-8b	hand-crafted	stepfinder-pca.s44	DONE	58	58	0	0
deepseek-8b	hand-crafted	stepfinder-pca.s45	DONE	58	58	0	0
deepseek-8b	hand-crafted	stepfinder-pca.s46	DONE	58	58	0	0
deepseek-8b	algorithm-generated	stepfinder-pca.s42	DONE	126	126	0	0
deepseek-8b	algorithm-generated	stepfinder-pca.s43	DONE	126	126	0	0
deepseek-8b	algorithm-generated	stepfinder-pca.s44	DONE	126	126	0	0
deepseek-8b	algorithm-generated	stepfinder-pca.s45	DONE	126	126	0	0
deepseek-8b	algorithm-generated	stepfinder-pca.s46	DONE	126	126	0	0
qwen3.5-4b	hand-crafted	stepfinder-pca.s42	DONE	58	58	0	0
qwen3.5-4b	hand-crafted	stepfinder-pca.s43	DONE	58	58	0	0
qwen3.5-4b	hand-crafted	stepfinder-pca.s44	DONE	58	58	0	0
qwen3.5-4b	hand-crafted	stepfinder-pca.s45	DONE	58	58	0	0
qwen3.5-4b	hand-crafted	stepfinder-pca.s46	DONE	58	58	0	0
qwen3.5-4b	algorithm-generated	stepfinder-pca.s42	DONE	126	126	0	0
qwen3.5-4b	algorithm-generated	stepfinder-pca.s43	DONE	126	126	0	0
qwen3.5-4b	algorithm-generated	stepfinder-pca.s44	DONE	126	126	0	0
qwen3.5-4b	algorithm-generated	stepfinder-pca.s45	DONE	126	126	0	0
qwen3.5-4b	algorithm-generated	stepfinder-pca.s46	DONE	126	126	0	0
qwen3-14b	hand-crafted	stepfinder-pca.s42	DONE	58	58	0	0
qwen3-14b	hand-crafted	stepfinder-pca.s43	DONE	58	58	0	0
qwen3-14b	hand-crafted	stepfinder-pca.s44	DONE	58	58	0	0
qwen3-14b	hand-crafted	stepfinder-pca.s45	DONE	58	58	0	0
qwen3-14b	hand-crafted	stepfinder-pca.s46	DONE	58	58	0	0
qwen3-14b	algorithm-generated	stepfinder-pca.s42	DONE	126	126	0	0
qwen3-14b	algorithm-generated	stepfinder-pca.s43	DONE	126	126	0	0
qwen3-14b	algorithm-generated	stepfinder-pca.s44	DONE	126	126	0	0
qwen3-14b	algorithm-generated	stepfinder-pca.s45	DONE	126	126	0	0
qwen3-14b	algorithm-generated	stepfinder-pca.s46	DONE	126	126	0	0
qwen3.5-27b	hand-crafted	stepfinder-pca.s42	DONE	58	58	0	0
qwen3.5-27b	hand-crafted	stepfinder-pca.s43	DONE	58	58	0	0
qwen3.5-27b	hand-crafted	stepfinder-pca.s44	DONE	58	58	0	0
qwen3.5-27b	hand-crafted	stepfinder-pca.s45	DONE	58	58	0	0
qwen3.5-27b	hand-crafted	stepfinder-pca.s46	DONE	58	58	0	0
qwen3.5-27b	algorithm-generated	stepfinder-pca.s42	DONE	126	126	0	0
qwen3.5-27b	algorithm-generated	stepfinder-pca.s43	DONE	126	126	0	0
qwen3.5-27b	algorithm-generated	stepfinder-pca.s44	DONE	126	126	0	0
qwen3.5-27b	algorithm-generated	stepfinder-pca.s45	DONE	126	126	0	0
qwen3.5-27b	algorithm-generated	stepfinder-pca.s46	DONE	126	126	0	0
