seed	n_val	n_test	n_full	gt_in_prompt	all_at_once_step@1_val	all_at_once_step@1_test	all_at_once_step@1_full	all_at_once_agent@1_val	all_at_once_agent@1_test	all_at_once_agent@1_full	step_by_step_step@1_val	step_by_step_step@1_test	step_by_step_step@1_full	step_by_step_agent@1_val	step_by_step_agent@1_test	step_by_step_agent@1_full	binary_search_step@1_val	binary_search_step@1_test	binary_search_step@1_full	binary_search_agent@1_val	binary_search_agent@1_test	binary_search_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	12	29	58	True	0.0	0.06896551724137931	0.08620689655172414	0.4166666666666667	0.41379310344827586	0.3620689655172414	0.3333333333333333	0.20689655172413793	0.1896551724137931	0.4166666666666667	0.5862068965517241	0.46551724137931033	0.16666666666666666	0.1724137931034483	0.20689655172413793	0.4166666666666667	0.6551724137931034	0.5862068965517241	0.20689655172413793	0.6551724137931034	0.20689655172413793	0.5862068965517241
2	12	29	58	True	0.08333333333333333	0.10344827586206896	0.08620689655172414	0.25	0.41379310344827586	0.3620689655172414	0.25	0.13793103448275862	0.1896551724137931	0.6666666666666666	0.3793103448275862	0.46551724137931033	0.0	0.3103448275862069	0.20689655172413793	0.6666666666666666	0.5172413793103449	0.5862068965517241	0.3103448275862069	0.5172413793103449	0.20689655172413793	0.5862068965517241
3	12	29	58	True	0.16666666666666666	0.06896551724137931	0.08620689655172414	0.3333333333333333	0.41379310344827586	0.3620689655172414	0.25	0.13793103448275862	0.1896551724137931	0.6666666666666666	0.3448275862068966	0.46551724137931033	0.25	0.1724137931034483	0.20689655172413793	0.6666666666666666	0.5517241379310345	0.5862068965517241	0.1724137931034483	0.5517241379310345	0.20689655172413793	0.5862068965517241
4	12	29	58	True	0.16666666666666666	0.06896551724137931	0.08620689655172414	0.5	0.3448275862068966	0.3620689655172414	0.08333333333333333	0.20689655172413793	0.1896551724137931	0.4166666666666667	0.5172413793103449	0.46551724137931033	0.25	0.20689655172413793	0.20689655172413793	0.6666666666666666	0.5517241379310345	0.5862068965517241	0.20689655172413793	0.5517241379310345	0.20689655172413793	0.5862068965517241
5	12	29	58	True	0.16666666666666666	0.06896551724137931	0.08620689655172414	0.4166666666666667	0.3448275862068966	0.3620689655172414	0.0	0.3103448275862069	0.1896551724137931	0.25	0.6206896551724138	0.46551724137931033	0.16666666666666666	0.20689655172413793	0.20689655172413793	0.5	0.6206896551724138	0.5862068965517241	0.3103448275862069	0.6206896551724138	0.20689655172413793	0.5862068965517241
6	12	29	58	True	0.0	0.10344827586206896	0.08620689655172414	0.3333333333333333	0.3793103448275862	0.3620689655172414	0.08333333333333333	0.20689655172413793	0.1896551724137931	0.4166666666666667	0.4827586206896552	0.46551724137931033	0.25	0.20689655172413793	0.20689655172413793	0.5833333333333334	0.5862068965517241	0.5862068965517241	0.20689655172413793	0.5862068965517241	0.20689655172413793	0.5862068965517241
7	12	29	58	True	0.0	0.1724137931034483	0.08620689655172414	0.5	0.41379310344827586	0.3620689655172414	0.08333333333333333	0.2413793103448276	0.1896551724137931	0.3333333333333333	0.5172413793103449	0.46551724137931033	0.25	0.2413793103448276	0.20689655172413793	0.5833333333333334	0.6206896551724138	0.5862068965517241	0.2413793103448276	0.6206896551724138	0.20689655172413793	0.5862068965517241
8	12	29	58	True	0.0	0.10344827586206896	0.08620689655172414	0.5	0.4482758620689655	0.3620689655172414	0.08333333333333333	0.1724137931034483	0.1896551724137931	0.4166666666666667	0.5172413793103449	0.46551724137931033	0.08333333333333333	0.20689655172413793	0.20689655172413793	0.5833333333333334	0.6206896551724138	0.5862068965517241	0.20689655172413793	0.6206896551724138	0.20689655172413793	0.5862068965517241
9	12	29	58	True	0.0	0.10344827586206896	0.08620689655172414	0.25	0.3793103448275862	0.3620689655172414	0.16666666666666666	0.2413793103448276	0.1896551724137931	0.6666666666666666	0.3448275862068966	0.46551724137931033	0.08333333333333333	0.2413793103448276	0.20689655172413793	0.5	0.5517241379310345	0.5862068965517241	0.2413793103448276	0.5517241379310345	0.20689655172413793	0.5862068965517241
10	12	29	58	True	0.0	0.10344827586206896	0.08620689655172414	0.4166666666666667	0.41379310344827586	0.3620689655172414	0.16666666666666666	0.20689655172413793	0.1896551724137931	0.4166666666666667	0.5172413793103449	0.46551724137931033	0.25	0.10344827586206896	0.20689655172413793	0.5833333333333334	0.6206896551724138	0.5862068965517241	0.20689655172413793	0.6206896551724138	0.20689655172413793	0.5862068965517241
11	12	29	58	True	0.16666666666666666	0.06896551724137931	0.08620689655172414	0.4166666666666667	0.2413793103448276	0.3620689655172414	0.25	0.1724137931034483	0.1896551724137931	0.5	0.3793103448275862	0.46551724137931033	0.08333333333333333	0.2413793103448276	0.20689655172413793	0.75	0.5862068965517241	0.5862068965517241	0.2413793103448276	0.5862068965517241	0.20689655172413793	0.5862068965517241
12	12	29	58	True	0.0	0.06896551724137931	0.08620689655172414	0.3333333333333333	0.27586206896551724	0.3620689655172414	0.08333333333333333	0.27586206896551724	0.1896551724137931	0.5	0.4482758620689655	0.46551724137931033	0.25	0.20689655172413793	0.20689655172413793	0.75	0.4827586206896552	0.5862068965517241	0.27586206896551724	0.4827586206896552	0.20689655172413793	0.5862068965517241
13	12	29	58	True	0.08333333333333333	0.13793103448275862	0.08620689655172414	0.3333333333333333	0.4482758620689655	0.3620689655172414	0.08333333333333333	0.2413793103448276	0.1896551724137931	0.5	0.5172413793103449	0.46551724137931033	0.08333333333333333	0.27586206896551724	0.20689655172413793	0.6666666666666666	0.5517241379310345	0.5862068965517241	0.27586206896551724	0.5517241379310345	0.20689655172413793	0.5862068965517241
