seed	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca-tsel.s42_step@1_val	stepfinder-pca-tsel.s42_step@1_test	stepfinder-pca-tsel.s42_step@1_full	stepfinder-pca-tsel.s42_agent@1_val	stepfinder-pca-tsel.s42_agent@1_test	stepfinder-pca-tsel.s42_agent@1_full	stepfinder-pca-tsel.s43_step@1_val	stepfinder-pca-tsel.s43_step@1_test	stepfinder-pca-tsel.s43_step@1_full	stepfinder-pca-tsel.s43_agent@1_val	stepfinder-pca-tsel.s43_agent@1_test	stepfinder-pca-tsel.s43_agent@1_full	stepfinder-pca-tsel.s44_step@1_val	stepfinder-pca-tsel.s44_step@1_test	stepfinder-pca-tsel.s44_step@1_full	stepfinder-pca-tsel.s44_agent@1_val	stepfinder-pca-tsel.s44_agent@1_test	stepfinder-pca-tsel.s44_agent@1_full	stepfinder-pca-tsel.s45_step@1_val	stepfinder-pca-tsel.s45_step@1_test	stepfinder-pca-tsel.s45_step@1_full	stepfinder-pca-tsel.s45_agent@1_val	stepfinder-pca-tsel.s45_agent@1_test	stepfinder-pca-tsel.s45_agent@1_full	stepfinder-pca-tsel.s46_step@1_val	stepfinder-pca-tsel.s46_step@1_test	stepfinder-pca-tsel.s46_step@1_full	stepfinder-pca-tsel.s46_agent@1_val	stepfinder-pca-tsel.s46_agent@1_test	stepfinder-pca-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	9	22	44	False	0.1111111111111111	0.09090909090909091	0.06818181818181818	0.6666666666666666	0.7272727272727273	0.6136363636363636	0.2222222222222222	0.09090909090909091	0.09090909090909091	0.7777777777777778	0.6818181818181818	0.6363636363636364	0.0	0.045454545454545456	0.022727272727272728	0.7777777777777778	0.7272727272727273	0.6818181818181818	0.0	0.0	0.0	0.6666666666666666	0.7727272727272727	0.75	0.0	0.22727272727272727	0.11363636363636363	0.4444444444444444	0.7272727272727273	0.5227272727272727	0.22727272727272727	0.7727272727272727	0.11363636363636363	0.75
2	9	22	44	False	0.2222222222222222	0.0	0.06818181818181818	0.5555555555555556	0.6818181818181818	0.6136363636363636	0.3333333333333333	0.0	0.09090909090909091	0.5555555555555556	0.6818181818181818	0.6363636363636364	0.0	0.0	0.022727272727272728	0.6666666666666666	0.6818181818181818	0.6818181818181818	0.0	0.0	0.0	0.4444444444444444	0.8181818181818182	0.75	0.1111111111111111	0.09090909090909091	0.11363636363636363	0.6666666666666666	0.45454545454545453	0.5227272727272727	0.09090909090909091	0.8181818181818182	0.11363636363636363	0.75
3	9	22	44	False	0.0	0.045454545454545456	0.06818181818181818	0.4444444444444444	0.6363636363636364	0.6136363636363636	0.0	0.045454545454545456	0.09090909090909091	0.3333333333333333	0.6818181818181818	0.6363636363636364	0.0	0.0	0.022727272727272728	0.4444444444444444	0.8181818181818182	0.6818181818181818	0.0	0.0	0.0	0.4444444444444444	0.8181818181818182	0.75	0.1111111111111111	0.13636363636363635	0.11363636363636363	0.5555555555555556	0.5	0.5227272727272727	0.13636363636363635	0.8181818181818182	0.11363636363636363	0.75
4	9	22	44	False	0.1111111111111111	0.045454545454545456	0.06818181818181818	0.4444444444444444	0.6363636363636364	0.6136363636363636	0.1111111111111111	0.09090909090909091	0.09090909090909091	0.4444444444444444	0.7727272727272727	0.6363636363636364	0.0	0.045454545454545456	0.022727272727272728	0.6666666666666666	0.6363636363636364	0.6818181818181818	0.0	0.0	0.0	0.7777777777777778	0.6363636363636364	0.75	0.1111111111111111	0.045454545454545456	0.11363636363636363	0.3333333333333333	0.5909090909090909	0.5227272727272727	0.09090909090909091	0.7727272727272727	0.11363636363636363	0.75
5	9	22	44	False	0.1111111111111111	0.0	0.06818181818181818	0.6666666666666666	0.5	0.6136363636363636	0.2222222222222222	0.0	0.09090909090909091	0.6666666666666666	0.5	0.6363636363636364	0.0	0.045454545454545456	0.022727272727272728	0.7777777777777778	0.5454545454545454	0.6818181818181818	0.0	0.0	0.0	0.7777777777777778	0.7272727272727273	0.75	0.0	0.13636363636363635	0.11363636363636363	0.4444444444444444	0.5	0.5227272727272727	0.13636363636363635	0.7272727272727273	0.11363636363636363	0.75
6	9	22	44	False	0.0	0.09090909090909091	0.06818181818181818	0.5555555555555556	0.6818181818181818	0.6136363636363636	0.0	0.13636363636363635	0.09090909090909091	0.6666666666666666	0.7272727272727273	0.6363636363636364	0.0	0.045454545454545456	0.022727272727272728	0.5555555555555556	0.7272727272727273	0.6818181818181818	0.0	0.0	0.0	0.7777777777777778	0.7727272727272727	0.75	0.2222222222222222	0.09090909090909091	0.11363636363636363	0.5555555555555556	0.5454545454545454	0.5227272727272727	0.13636363636363635	0.7727272727272727	0.11363636363636363	0.75
7	9	22	44	False	0.1111111111111111	0.045454545454545456	0.06818181818181818	0.5555555555555556	0.5909090909090909	0.6136363636363636	0.1111111111111111	0.09090909090909091	0.09090909090909091	0.6666666666666666	0.5454545454545454	0.6363636363636364	0.0	0.045454545454545456	0.022727272727272728	0.5555555555555556	0.6818181818181818	0.6818181818181818	0.0	0.0	0.0	0.6666666666666666	0.7272727272727273	0.75	0.2222222222222222	0.09090909090909091	0.11363636363636363	0.5555555555555556	0.45454545454545453	0.5227272727272727	0.09090909090909091	0.7272727272727273	0.11363636363636363	0.75
8	9	22	44	False	0.0	0.045454545454545456	0.06818181818181818	0.6666666666666666	0.6818181818181818	0.6136363636363636	0.0	0.09090909090909091	0.09090909090909091	0.6666666666666666	0.6818181818181818	0.6363636363636364	0.0	0.045454545454545456	0.022727272727272728	0.6666666666666666	0.7272727272727273	0.6818181818181818	0.0	0.0	0.0	0.6666666666666666	0.7272727272727273	0.75	0.2222222222222222	0.09090909090909091	0.11363636363636363	0.5555555555555556	0.6818181818181818	0.5227272727272727	0.09090909090909091	0.7272727272727273	0.11363636363636363	0.75
9	9	22	44	False	0.1111111111111111	0.0	0.06818181818181818	0.4444444444444444	0.6818181818181818	0.6136363636363636	0.1111111111111111	0.045454545454545456	0.09090909090909091	0.6666666666666666	0.5909090909090909	0.6363636363636364	0.1111111111111111	0.0	0.022727272727272728	0.4444444444444444	0.7727272727272727	0.6818181818181818	0.0	0.0	0.0	0.3333333333333333	0.8636363636363636	0.75	0.2222222222222222	0.045454545454545456	0.11363636363636363	0.5555555555555556	0.5454545454545454	0.5227272727272727	0.045454545454545456	0.8636363636363636	0.11363636363636363	0.75
10	9	22	44	False	0.1111111111111111	0.045454545454545456	0.06818181818181818	0.6666666666666666	0.6363636363636364	0.6136363636363636	0.1111111111111111	0.09090909090909091	0.09090909090909091	0.7777777777777778	0.5909090909090909	0.6363636363636364	0.0	0.0	0.022727272727272728	0.8888888888888888	0.6363636363636364	0.6818181818181818	0.0	0.0	0.0	0.7777777777777778	0.7727272727272727	0.75	0.0	0.13636363636363635	0.11363636363636363	0.5555555555555556	0.5454545454545454	0.5227272727272727	0.13636363636363635	0.7727272727272727	0.11363636363636363	0.75
