model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3-embedding-0.6b	code	stepfinder-alg.s42	DONE	127	127	0	0
qwen3-embedding-0.6b	code	stepfinder-alg.s43	DONE	127	127	0	0
qwen3-embedding-0.6b	code	stepfinder-alg.s44	DONE	127	127	0	0
qwen3-embedding-0.6b	code	stepfinder-alg.s45	DONE	127	127	0	0
qwen3-embedding-0.6b	code	stepfinder-alg.s46	DONE	127	127	0	0
qwen3.5-9b	code	stepfinder-alg.s42	DONE	127	127	0	0
qwen3.5-9b	code	stepfinder-alg.s43	DONE	127	127	0	0
qwen3.5-9b	code	stepfinder-alg.s44	DONE	127	127	0	0
qwen3.5-9b	code	stepfinder-alg.s45	DONE	127	127	0	0
qwen3.5-9b	code	stepfinder-alg.s46	DONE	127	127	0	0
deepseek-8b	code	stepfinder-alg.s42	DONE	127	127	0	0
deepseek-8b	code	stepfinder-alg.s43	DONE	127	127	0	0
deepseek-8b	code	stepfinder-alg.s44	DONE	127	127	0	0
deepseek-8b	code	stepfinder-alg.s45	DONE	127	127	0	0
deepseek-8b	code	stepfinder-alg.s46	DONE	127	127	0	0
qwen3.5-4b	code	stepfinder-alg.s42	DONE	127	127	0	0
qwen3.5-4b	code	stepfinder-alg.s43	DONE	127	127	0	0
qwen3.5-4b	code	stepfinder-alg.s44	DONE	127	127	0	0
qwen3.5-4b	code	stepfinder-alg.s45	DONE	127	127	0	0
qwen3.5-4b	code	stepfinder-alg.s46	DONE	127	127	0	0
qwen3-14b	code	stepfinder-alg.s42	DONE	127	127	0	0
qwen3-14b	code	stepfinder-alg.s43	DONE	127	127	0	0
qwen3-14b	code	stepfinder-alg.s44	DONE	127	127	0	0
qwen3-14b	code	stepfinder-alg.s45	DONE	127	127	0	0
qwen3-14b	code	stepfinder-alg.s46	DONE	127	127	0	0
qwen3.5-27b	code	stepfinder-alg.s42	DONE	127	127	0	0
qwen3.5-27b	code	stepfinder-alg.s43	DONE	127	127	0	0
qwen3.5-27b	code	stepfinder-alg.s44	DONE	127	127	0	0
qwen3.5-27b	code	stepfinder-alg.s45	DONE	127	127	0	0
qwen3.5-27b	code	stepfinder-alg.s46	DONE	127	127	0	0
