seed	n_val	n_test	n_full	gt_in_prompt	stepfinder-tsel.s42_step@1_val	stepfinder-tsel.s42_step@1_test	stepfinder-tsel.s42_step@1_full	stepfinder-tsel.s42_agent@1_val	stepfinder-tsel.s42_agent@1_test	stepfinder-tsel.s42_agent@1_full	stepfinder-tsel.s43_step@1_val	stepfinder-tsel.s43_step@1_test	stepfinder-tsel.s43_step@1_full	stepfinder-tsel.s43_agent@1_val	stepfinder-tsel.s43_agent@1_test	stepfinder-tsel.s43_agent@1_full	stepfinder-tsel.s44_step@1_val	stepfinder-tsel.s44_step@1_test	stepfinder-tsel.s44_step@1_full	stepfinder-tsel.s44_agent@1_val	stepfinder-tsel.s44_agent@1_test	stepfinder-tsel.s44_agent@1_full	stepfinder-tsel.s45_step@1_val	stepfinder-tsel.s45_step@1_test	stepfinder-tsel.s45_step@1_full	stepfinder-tsel.s45_agent@1_val	stepfinder-tsel.s45_agent@1_test	stepfinder-tsel.s45_agent@1_full	stepfinder-tsel.s46_step@1_val	stepfinder-tsel.s46_step@1_test	stepfinder-tsel.s46_step@1_full	stepfinder-tsel.s46_agent@1_val	stepfinder-tsel.s46_agent@1_test	stepfinder-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
11	12	29	58	False	0.16666666666666666	0.06896551724137931	0.10344827586206896	0.5	0.5172413793103449	0.5172413793103449	0.0	0.10344827586206896	0.08620689655172414	0.4166666666666667	0.41379310344827586	0.43103448275862066	0.16666666666666666	0.13793103448275862	0.15517241379310345	0.5833333333333334	0.4827586206896552	0.4827586206896552	0.08333333333333333	0.034482758620689655	0.06896551724137931	0.4166666666666667	0.3103448275862069	0.3275862068965517	0.08333333333333333	0.06896551724137931	0.10344827586206896	0.4166666666666667	0.4482758620689655	0.4482758620689655	0.13793103448275862	0.5172413793103449	0.15517241379310345	0.5172413793103449
12	12	29	58	False	0.16666666666666666	0.10344827586206896	0.10344827586206896	0.6666666666666666	0.4827586206896552	0.5172413793103449	0.0	0.13793103448275862	0.08620689655172414	0.25	0.4482758620689655	0.43103448275862066	0.08333333333333333	0.13793103448275862	0.15517241379310345	0.4166666666666667	0.4827586206896552	0.4827586206896552	0.08333333333333333	0.06896551724137931	0.06896551724137931	0.16666666666666666	0.41379310344827586	0.3275862068965517	0.0	0.10344827586206896	0.10344827586206896	0.3333333333333333	0.3793103448275862	0.4482758620689655	0.13793103448275862	0.4827586206896552	0.15517241379310345	0.5172413793103449
13	12	29	58	False	0.0	0.1724137931034483	0.10344827586206896	0.3333333333333333	0.6551724137931034	0.5172413793103449	0.0	0.10344827586206896	0.08620689655172414	0.5833333333333334	0.3103448275862069	0.43103448275862066	0.08333333333333333	0.13793103448275862	0.15517241379310345	0.6666666666666666	0.3448275862068966	0.4827586206896552	0.16666666666666666	0.034482758620689655	0.06896551724137931	0.4166666666666667	0.3103448275862069	0.3275862068965517	0.0	0.1724137931034483	0.10344827586206896	0.6666666666666666	0.41379310344827586	0.4482758620689655	0.1724137931034483	0.6551724137931034	0.15517241379310345	0.5172413793103449
14	12	29	58	False	0.16666666666666666	0.034482758620689655	0.10344827586206896	0.6666666666666666	0.41379310344827586	0.5172413793103449	0.08333333333333333	0.06896551724137931	0.08620689655172414	0.4166666666666667	0.3448275862068966	0.43103448275862066	0.08333333333333333	0.2413793103448276	0.15517241379310345	0.3333333333333333	0.4827586206896552	0.4827586206896552	0.08333333333333333	0.10344827586206896	0.06896551724137931	0.4166666666666667	0.27586206896551724	0.3275862068965517	0.0	0.1724137931034483	0.10344827586206896	0.25	0.4482758620689655	0.4482758620689655	0.2413793103448276	0.4827586206896552	0.15517241379310345	0.5172413793103449
15	12	29	58	False	0.16666666666666666	0.10344827586206896	0.10344827586206896	0.5833333333333334	0.4482758620689655	0.5172413793103449	0.08333333333333333	0.10344827586206896	0.08620689655172414	0.5833333333333334	0.5172413793103449	0.43103448275862066	0.0	0.1724137931034483	0.15517241379310345	0.3333333333333333	0.5517241379310345	0.4827586206896552	0.08333333333333333	0.10344827586206896	0.06896551724137931	0.5	0.3448275862068966	0.3275862068965517	0.0	0.13793103448275862	0.10344827586206896	0.5	0.4827586206896552	0.4482758620689655	0.1724137931034483	0.5517241379310345	0.15517241379310345	0.5172413793103449
16	12	29	58	False	0.16666666666666666	0.034482758620689655	0.10344827586206896	0.4166666666666667	0.5862068965517241	0.5172413793103449	0.16666666666666666	0.034482758620689655	0.08620689655172414	0.3333333333333333	0.4482758620689655	0.43103448275862066	0.25	0.10344827586206896	0.15517241379310345	0.4166666666666667	0.41379310344827586	0.4827586206896552	0.08333333333333333	0.06896551724137931	0.06896551724137931	0.3333333333333333	0.3448275862068966	0.3275862068965517	0.08333333333333333	0.13793103448275862	0.10344827586206896	0.5	0.4827586206896552	0.4482758620689655	0.13793103448275862	0.5862068965517241	0.15517241379310345	0.5172413793103449
17	12	29	58	False	0.16666666666666666	0.06896551724137931	0.10344827586206896	0.6666666666666666	0.4827586206896552	0.5172413793103449	0.08333333333333333	0.10344827586206896	0.08620689655172414	0.6666666666666666	0.3793103448275862	0.43103448275862066	0.0	0.2413793103448276	0.15517241379310345	0.25	0.5862068965517241	0.4827586206896552	0.08333333333333333	0.10344827586206896	0.06896551724137931	0.5833333333333334	0.20689655172413793	0.3275862068965517	0.08333333333333333	0.13793103448275862	0.10344827586206896	0.3333333333333333	0.4827586206896552	0.4482758620689655	0.2413793103448276	0.5862068965517241	0.15517241379310345	0.5172413793103449
18	12	29	58	False	0.25	0.034482758620689655	0.10344827586206896	0.5833333333333334	0.3793103448275862	0.5172413793103449	0.0	0.06896551724137931	0.08620689655172414	0.5	0.3793103448275862	0.43103448275862066	0.08333333333333333	0.1724137931034483	0.15517241379310345	0.5833333333333334	0.41379310344827586	0.4827586206896552	0.0	0.034482758620689655	0.06896551724137931	0.4166666666666667	0.27586206896551724	0.3275862068965517	0.0	0.13793103448275862	0.10344827586206896	0.5	0.4482758620689655	0.4482758620689655	0.1724137931034483	0.4482758620689655	0.15517241379310345	0.5172413793103449
19	12	29	58	False	0.0	0.10344827586206896	0.10344827586206896	0.5833333333333334	0.4482758620689655	0.5172413793103449	0.0	0.10344827586206896	0.08620689655172414	0.3333333333333333	0.4482758620689655	0.43103448275862066	0.08333333333333333	0.2413793103448276	0.15517241379310345	0.3333333333333333	0.4827586206896552	0.4827586206896552	0.0	0.10344827586206896	0.06896551724137931	0.3333333333333333	0.27586206896551724	0.3275862068965517	0.08333333333333333	0.10344827586206896	0.10344827586206896	0.4166666666666667	0.41379310344827586	0.4482758620689655	0.2413793103448276	0.4827586206896552	0.15517241379310345	0.5172413793103449
20	12	29	58	False	0.0	0.10344827586206896	0.10344827586206896	0.4166666666666667	0.5517241379310345	0.5172413793103449	0.0	0.10344827586206896	0.08620689655172414	0.4166666666666667	0.3793103448275862	0.43103448275862066	0.16666666666666666	0.10344827586206896	0.15517241379310345	0.4166666666666667	0.4482758620689655	0.4827586206896552	0.0	0.034482758620689655	0.06896551724137931	0.16666666666666666	0.27586206896551724	0.3275862068965517	0.08333333333333333	0.10344827586206896	0.10344827586206896	0.4166666666666667	0.4482758620689655	0.4482758620689655	0.10344827586206896	0.5517241379310345	0.15517241379310345	0.5172413793103449
