seed	n_val	n_test	n_full	gt_in_prompt	stepfinder-tsel.s42_step@1_val	stepfinder-tsel.s42_step@1_test	stepfinder-tsel.s42_step@1_full	stepfinder-tsel.s42_agent@1_val	stepfinder-tsel.s42_agent@1_test	stepfinder-tsel.s42_agent@1_full	stepfinder-tsel.s43_step@1_val	stepfinder-tsel.s43_step@1_test	stepfinder-tsel.s43_step@1_full	stepfinder-tsel.s43_agent@1_val	stepfinder-tsel.s43_agent@1_test	stepfinder-tsel.s43_agent@1_full	stepfinder-tsel.s44_step@1_val	stepfinder-tsel.s44_step@1_test	stepfinder-tsel.s44_step@1_full	stepfinder-tsel.s44_agent@1_val	stepfinder-tsel.s44_agent@1_test	stepfinder-tsel.s44_agent@1_full	stepfinder-tsel.s45_step@1_val	stepfinder-tsel.s45_step@1_test	stepfinder-tsel.s45_step@1_full	stepfinder-tsel.s45_agent@1_val	stepfinder-tsel.s45_agent@1_test	stepfinder-tsel.s45_agent@1_full	stepfinder-tsel.s46_step@1_val	stepfinder-tsel.s46_step@1_test	stepfinder-tsel.s46_step@1_full	stepfinder-tsel.s46_agent@1_val	stepfinder-tsel.s46_agent@1_test	stepfinder-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	18	46	91	False	0.1111111111111111	0.043478260869565216	0.054945054945054944	0.6111111111111112	0.6739130434782609	0.6263736263736264	0.16666666666666666	0.021739130434782608	0.054945054945054944	0.5555555555555556	0.6739130434782609	0.6593406593406593	0.16666666666666666	0.0	0.03296703296703297	0.5	0.6304347826086957	0.6373626373626373	0.2222222222222222	0.06521739130434782	0.0989010989010989	0.6666666666666666	0.8043478260869565	0.7582417582417582	0.2222222222222222	0.021739130434782608	0.054945054945054944	0.6111111111111112	0.5652173913043478	0.5714285714285714	0.06521739130434782	0.8043478260869565	0.0989010989010989	0.7582417582417582
2	18	46	91	False	0.0	0.06521739130434782	0.054945054945054944	0.7222222222222222	0.6086956521739131	0.6263736263736264	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.6666666666666666	0.6956521739130435	0.6593406593406593	0.0	0.0	0.03296703296703297	0.7222222222222222	0.6304347826086957	0.6373626373626373	0.1111111111111111	0.08695652173913043	0.0989010989010989	0.7777777777777778	0.782608695652174	0.7582417582417582	0.0	0.06521739130434782	0.054945054945054944	0.6111111111111112	0.6304347826086957	0.5714285714285714	0.08695652173913043	0.782608695652174	0.0989010989010989	0.7582417582417582
3	18	46	91	False	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.6111111111111112	0.6304347826086957	0.6263736263736264	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.6111111111111112	0.6086956521739131	0.6593406593406593	0.05555555555555555	0.021739130434782608	0.03296703296703297	0.6111111111111112	0.5869565217391305	0.6373626373626373	0.05555555555555555	0.10869565217391304	0.0989010989010989	0.7777777777777778	0.7391304347826086	0.7582417582417582	0.1111111111111111	0.021739130434782608	0.054945054945054944	0.6111111111111112	0.5434782608695652	0.5714285714285714	0.10869565217391304	0.7391304347826086	0.0989010989010989	0.7582417582417582
4	18	46	91	False	0.05555555555555555	0.08695652173913043	0.054945054945054944	0.6666666666666666	0.6086956521739131	0.6263736263736264	0.05555555555555555	0.06521739130434782	0.054945054945054944	0.6111111111111112	0.6521739130434783	0.6593406593406593	0.05555555555555555	0.021739130434782608	0.03296703296703297	0.6111111111111112	0.6086956521739131	0.6373626373626373	0.1111111111111111	0.10869565217391304	0.0989010989010989	0.8333333333333334	0.717391304347826	0.7582417582417582	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.6111111111111112	0.6086956521739131	0.5714285714285714	0.10869565217391304	0.717391304347826	0.0989010989010989	0.7582417582417582
5	18	46	91	False	0.16666666666666666	0.0	0.054945054945054944	0.5555555555555556	0.6521739130434783	0.6263736263736264	0.16666666666666666	0.0	0.054945054945054944	0.5555555555555556	0.782608695652174	0.6593406593406593	0.16666666666666666	0.0	0.03296703296703297	0.5	0.7391304347826086	0.6373626373626373	0.2222222222222222	0.021739130434782608	0.0989010989010989	0.6111111111111112	0.8043478260869565	0.7582417582417582	0.1111111111111111	0.021739130434782608	0.054945054945054944	0.3888888888888889	0.6739130434782609	0.5714285714285714	0.021739130434782608	0.8043478260869565	0.0989010989010989	0.7582417582417582
6	18	46	91	False	0.05555555555555555	0.06521739130434782	0.054945054945054944	0.7777777777777778	0.6086956521739131	0.6263736263736264	0.1111111111111111	0.021739130434782608	0.054945054945054944	0.6666666666666666	0.6956521739130435	0.6593406593406593	0.05555555555555555	0.021739130434782608	0.03296703296703297	0.6111111111111112	0.6739130434782609	0.6373626373626373	0.2222222222222222	0.021739130434782608	0.0989010989010989	0.7222222222222222	0.8043478260869565	0.7582417582417582	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.6666666666666666	0.5652173913043478	0.5714285714285714	0.06521739130434782	0.8043478260869565	0.0989010989010989	0.7582417582417582
7	18	46	91	False	0.05555555555555555	0.06521739130434782	0.054945054945054944	0.4444444444444444	0.6304347826086957	0.6263736263736264	0.05555555555555555	0.08695652173913043	0.054945054945054944	0.5555555555555556	0.717391304347826	0.6593406593406593	0.05555555555555555	0.043478260869565216	0.03296703296703297	0.6111111111111112	0.6086956521739131	0.6373626373626373	0.1111111111111111	0.10869565217391304	0.0989010989010989	0.6666666666666666	0.7391304347826086	0.7582417582417582	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.3888888888888889	0.5217391304347826	0.5714285714285714	0.10869565217391304	0.7391304347826086	0.0989010989010989	0.7582417582417582
8	18	46	91	False	0.0	0.08695652173913043	0.054945054945054944	0.6111111111111112	0.5869565217391305	0.6263736263736264	0.05555555555555555	0.08695652173913043	0.054945054945054944	0.7222222222222222	0.6304347826086957	0.6593406593406593	0.0	0.043478260869565216	0.03296703296703297	0.5	0.6304347826086957	0.6373626373626373	0.1111111111111111	0.15217391304347827	0.0989010989010989	0.6666666666666666	0.8478260869565217	0.7582417582417582	0.05555555555555555	0.06521739130434782	0.054945054945054944	0.5555555555555556	0.5217391304347826	0.5714285714285714	0.15217391304347827	0.8478260869565217	0.0989010989010989	0.7582417582417582
9	18	46	91	False	0.05555555555555555	0.06521739130434782	0.054945054945054944	0.7222222222222222	0.5434782608695652	0.6263736263736264	0.05555555555555555	0.08695652173913043	0.054945054945054944	0.8333333333333334	0.6739130434782609	0.6593406593406593	0.0	0.043478260869565216	0.03296703296703297	0.7777777777777778	0.6086956521739131	0.6373626373626373	0.05555555555555555	0.17391304347826086	0.0989010989010989	0.8888888888888888	0.7608695652173914	0.7582417582417582	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.6666666666666666	0.5	0.5714285714285714	0.17391304347826086	0.7608695652173914	0.0989010989010989	0.7582417582417582
10	18	46	91	False	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.6666666666666666	0.5869565217391305	0.6263736263736264	0.16666666666666666	0.021739130434782608	0.054945054945054944	0.8333333333333334	0.5869565217391305	0.6593406593406593	0.0	0.043478260869565216	0.03296703296703297	0.6666666666666666	0.6304347826086957	0.6373626373626373	0.16666666666666666	0.10869565217391304	0.0989010989010989	0.9444444444444444	0.6739130434782609	0.7582417582417582	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.6111111111111112	0.5217391304347826	0.5714285714285714	0.10869565217391304	0.6739130434782609	0.0989010989010989	0.7582417582417582
