seed	n_val	n_test	n_full	gt_in_prompt	stepfinder-alg.s42_step@1_val	stepfinder-alg.s42_step@1_test	stepfinder-alg.s42_step@1_full	stepfinder-alg.s42_agent@1_val	stepfinder-alg.s42_agent@1_test	stepfinder-alg.s42_agent@1_full	stepfinder-alg.s43_step@1_val	stepfinder-alg.s43_step@1_test	stepfinder-alg.s43_step@1_full	stepfinder-alg.s43_agent@1_val	stepfinder-alg.s43_agent@1_test	stepfinder-alg.s43_agent@1_full	stepfinder-alg.s44_step@1_val	stepfinder-alg.s44_step@1_test	stepfinder-alg.s44_step@1_full	stepfinder-alg.s44_agent@1_val	stepfinder-alg.s44_agent@1_test	stepfinder-alg.s44_agent@1_full	stepfinder-alg.s45_step@1_val	stepfinder-alg.s45_step@1_test	stepfinder-alg.s45_step@1_full	stepfinder-alg.s45_agent@1_val	stepfinder-alg.s45_agent@1_test	stepfinder-alg.s45_agent@1_full	stepfinder-alg.s46_step@1_val	stepfinder-alg.s46_step@1_test	stepfinder-alg.s46_step@1_full	stepfinder-alg.s46_agent@1_val	stepfinder-alg.s46_agent@1_test	stepfinder-alg.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
11	26	64	127	False	0.0	0.046875	0.03937007874015748	0.038461538461538464	0.140625	0.11811023622047244	0.0	0.0625	0.03937007874015748	0.34615384615384615	0.328125	0.2992125984251969	0.0	0.046875	0.031496062992125984	0.23076923076923078	0.375	0.31496062992125984	0.0	0.0625	0.047244094488188976	0.07692307692307693	0.25	0.18110236220472442	0.0	0.046875	0.031496062992125984	0.38461538461538464	0.453125	0.4330708661417323	0.0625	0.453125	0.047244094488188976	0.4330708661417323
12	26	64	127	False	0.038461538461538464	0.046875	0.03937007874015748	0.15384615384615385	0.09375	0.11811023622047244	0.038461538461538464	0.0625	0.03937007874015748	0.34615384615384615	0.265625	0.2992125984251969	0.038461538461538464	0.046875	0.031496062992125984	0.3076923076923077	0.328125	0.31496062992125984	0.038461538461538464	0.0625	0.047244094488188976	0.19230769230769232	0.171875	0.18110236220472442	0.038461538461538464	0.046875	0.031496062992125984	0.4230769230769231	0.4375	0.4330708661417323	0.0625	0.4375	0.047244094488188976	0.4330708661417323
13	26	64	127	False	0.07692307692307693	0.015625	0.03937007874015748	0.19230769230769232	0.0625	0.11811023622047244	0.038461538461538464	0.03125	0.03937007874015748	0.3076923076923077	0.265625	0.2992125984251969	0.038461538461538464	0.015625	0.031496062992125984	0.3076923076923077	0.296875	0.31496062992125984	0.07692307692307693	0.03125	0.047244094488188976	0.23076923076923078	0.125	0.18110236220472442	0.038461538461538464	0.015625	0.031496062992125984	0.5	0.453125	0.4330708661417323	0.03125	0.453125	0.047244094488188976	0.4330708661417323
14	26	64	127	False	0.0	0.0625	0.03937007874015748	0.11538461538461539	0.09375	0.11811023622047244	0.0	0.0625	0.03937007874015748	0.19230769230769232	0.328125	0.2992125984251969	0.0	0.046875	0.031496062992125984	0.34615384615384615	0.34375	0.31496062992125984	0.0	0.078125	0.047244094488188976	0.15384615384615385	0.21875	0.18110236220472442	0.0	0.046875	0.031496062992125984	0.38461538461538464	0.4375	0.4330708661417323	0.078125	0.4375	0.047244094488188976	0.4330708661417323
15	26	64	127	False	0.038461538461538464	0.03125	0.03937007874015748	0.23076923076923078	0.109375	0.11811023622047244	0.0	0.046875	0.03937007874015748	0.2692307692307692	0.3125	0.2992125984251969	0.0	0.03125	0.031496062992125984	0.4230769230769231	0.296875	0.31496062992125984	0.038461538461538464	0.046875	0.047244094488188976	0.2692307692307692	0.203125	0.18110236220472442	0.0	0.03125	0.031496062992125984	0.5384615384615384	0.421875	0.4330708661417323	0.046875	0.421875	0.047244094488188976	0.4330708661417323
16	26	64	127	False	0.038461538461538464	0.03125	0.03937007874015748	0.11538461538461539	0.125	0.11811023622047244	0.038461538461538464	0.046875	0.03937007874015748	0.34615384615384615	0.265625	0.2992125984251969	0.038461538461538464	0.03125	0.031496062992125984	0.3076923076923077	0.265625	0.31496062992125984	0.038461538461538464	0.046875	0.047244094488188976	0.19230769230769232	0.171875	0.18110236220472442	0.038461538461538464	0.03125	0.031496062992125984	0.34615384615384615	0.453125	0.4330708661417323	0.046875	0.453125	0.047244094488188976	0.4330708661417323
17	26	64	127	False	0.0	0.046875	0.03937007874015748	0.23076923076923078	0.046875	0.11811023622047244	0.0	0.046875	0.03937007874015748	0.3076923076923077	0.25	0.2992125984251969	0.0	0.046875	0.031496062992125984	0.3076923076923077	0.265625	0.31496062992125984	0.0	0.046875	0.047244094488188976	0.23076923076923078	0.125	0.18110236220472442	0.0	0.046875	0.031496062992125984	0.2692307692307692	0.421875	0.4330708661417323	0.046875	0.421875	0.047244094488188976	0.4330708661417323
18	26	64	127	False	0.07692307692307693	0.03125	0.03937007874015748	0.23076923076923078	0.109375	0.11811023622047244	0.038461538461538464	0.03125	0.03937007874015748	0.2692307692307692	0.3125	0.2992125984251969	0.038461538461538464	0.03125	0.031496062992125984	0.38461538461538464	0.328125	0.31496062992125984	0.07692307692307693	0.03125	0.047244094488188976	0.3076923076923077	0.140625	0.18110236220472442	0.038461538461538464	0.03125	0.031496062992125984	0.46153846153846156	0.421875	0.4330708661417323	0.03125	0.421875	0.047244094488188976	0.4330708661417323
19	26	64	127	False	0.038461538461538464	0.046875	0.03937007874015748	0.038461538461538464	0.109375	0.11811023622047244	0.0	0.046875	0.03937007874015748	0.3076923076923077	0.21875	0.2992125984251969	0.0	0.046875	0.031496062992125984	0.15384615384615385	0.328125	0.31496062992125984	0.038461538461538464	0.046875	0.047244094488188976	0.11538461538461539	0.15625	0.18110236220472442	0.0	0.046875	0.031496062992125984	0.2692307692307692	0.46875	0.4330708661417323	0.046875	0.46875	0.047244094488188976	0.4330708661417323
20	26	64	127	False	0.0	0.046875	0.03937007874015748	0.038461538461538464	0.15625	0.11811023622047244	0.0	0.0625	0.03937007874015748	0.23076923076923078	0.34375	0.2992125984251969	0.0	0.046875	0.031496062992125984	0.38461538461538464	0.3125	0.31496062992125984	0.0	0.0625	0.047244094488188976	0.11538461538461539	0.21875	0.18110236220472442	0.0	0.046875	0.031496062992125984	0.38461538461538464	0.4375	0.4330708661417323	0.0625	0.4375	0.047244094488188976	0.4330708661417323
