model	subset	method	status	rows	expected	no_pred	fmt_fail
gpt-4o	algorithm-generated	all_at_once	DONE	126	126	0	0
gpt-4o	algorithm-generated	step_by_step	DONE	126	126	3	0
gpt-4o	algorithm-generated	binary_search	DONE	126	126	0	0
gpt-4o	hand-crafted	all_at_once	DONE	58	58	0	0
gpt-4o	hand-crafted	step_by_step	DONE	58	58	1	0
gpt-4o	hand-crafted	binary_search	DONE	58	58	0	0
gpt-5	algorithm-generated	all_at_once	DONE	126	126	0	0
gpt-5	algorithm-generated	step_by_step	DONE	126	126	1	0
gpt-5	algorithm-generated	binary_search	DONE	126	126	0	0
gpt-5	hand-crafted	all_at_once	DONE	58	58	0	0
gpt-5	hand-crafted	step_by_step	DONE	58	58	3	0
gpt-5	hand-crafted	binary_search	DONE	58	58	0	0
