seed	n_val	n_test	n_full	gt_in_prompt	oat.s42_step@1_val	oat.s42_step@1_test	oat.s42_step@1_full	oat.s42_agent@1_val	oat.s42_agent@1_test	oat.s42_agent@1_full	oat.s43_step@1_val	oat.s43_step@1_test	oat.s43_step@1_full	oat.s43_agent@1_val	oat.s43_agent@1_test	oat.s43_agent@1_full	oat.s44_step@1_val	oat.s44_step@1_test	oat.s44_step@1_full	oat.s44_agent@1_val	oat.s44_agent@1_test	oat.s44_agent@1_full	oat.s45_step@1_val	oat.s45_step@1_test	oat.s45_step@1_full	oat.s45_agent@1_val	oat.s45_agent@1_test	oat.s45_agent@1_full	oat.s46_step@1_val	oat.s46_step@1_test	oat.s46_step@1_full	oat.s46_agent@1_val	oat.s46_agent@1_test	oat.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	12	29	58	False	0.16666666666666666	0.13793103448275862	0.1206896551724138	0.8333333333333334	0.5517241379310345	0.5862068965517241	0.16666666666666666	0.13793103448275862	0.1206896551724138	0.8333333333333334	0.5862068965517241	0.603448275862069	0.16666666666666666	0.13793103448275862	0.1206896551724138	0.8333333333333334	0.5517241379310345	0.5862068965517241	0.16666666666666666	0.10344827586206896	0.10344827586206896	0.8333333333333334	0.5517241379310345	0.603448275862069	0.16666666666666666	0.13793103448275862	0.1206896551724138	0.8333333333333334	0.5862068965517241	0.603448275862069	0.13793103448275862	0.5862068965517241	0.1206896551724138	0.603448275862069
2	12	29	58	False	0.0	0.13793103448275862	0.1206896551724138	0.4166666666666667	0.7586206896551724	0.5862068965517241	0.0	0.13793103448275862	0.1206896551724138	0.4166666666666667	0.7586206896551724	0.603448275862069	0.0	0.13793103448275862	0.1206896551724138	0.4166666666666667	0.7586206896551724	0.5862068965517241	0.0	0.13793103448275862	0.10344827586206896	0.5833333333333334	0.7241379310344828	0.603448275862069	0.0	0.13793103448275862	0.1206896551724138	0.5	0.7586206896551724	0.603448275862069	0.13793103448275862	0.7586206896551724	0.1206896551724138	0.603448275862069
3	12	29	58	False	0.16666666666666666	0.10344827586206896	0.1206896551724138	0.6666666666666666	0.6206896551724138	0.5862068965517241	0.16666666666666666	0.10344827586206896	0.1206896551724138	0.6666666666666666	0.6551724137931034	0.603448275862069	0.16666666666666666	0.10344827586206896	0.1206896551724138	0.6666666666666666	0.6206896551724138	0.5862068965517241	0.16666666666666666	0.06896551724137931	0.10344827586206896	0.75	0.6206896551724138	0.603448275862069	0.16666666666666666	0.10344827586206896	0.1206896551724138	0.75	0.6206896551724138	0.603448275862069	0.10344827586206896	0.6551724137931034	0.1206896551724138	0.603448275862069
4	12	29	58	False	0.08333333333333333	0.13793103448275862	0.1206896551724138	0.4166666666666667	0.6896551724137931	0.5862068965517241	0.08333333333333333	0.13793103448275862	0.1206896551724138	0.5	0.6896551724137931	0.603448275862069	0.08333333333333333	0.13793103448275862	0.1206896551724138	0.4166666666666667	0.6896551724137931	0.5862068965517241	0.08333333333333333	0.13793103448275862	0.10344827586206896	0.4166666666666667	0.6896551724137931	0.603448275862069	0.08333333333333333	0.13793103448275862	0.1206896551724138	0.4166666666666667	0.6896551724137931	0.603448275862069	0.13793103448275862	0.6896551724137931	0.1206896551724138	0.603448275862069
5	12	29	58	False	0.16666666666666666	0.10344827586206896	0.1206896551724138	0.9166666666666666	0.5172413793103449	0.5862068965517241	0.16666666666666666	0.10344827586206896	0.1206896551724138	0.9166666666666666	0.5517241379310345	0.603448275862069	0.16666666666666666	0.10344827586206896	0.1206896551724138	0.9166666666666666	0.5172413793103449	0.5862068965517241	0.16666666666666666	0.06896551724137931	0.10344827586206896	0.9166666666666666	0.5517241379310345	0.603448275862069	0.16666666666666666	0.10344827586206896	0.1206896551724138	0.9166666666666666	0.5517241379310345	0.603448275862069	0.10344827586206896	0.5517241379310345	0.1206896551724138	0.603448275862069
6	12	29	58	False	0.0	0.1724137931034483	0.1206896551724138	0.5	0.6551724137931034	0.5862068965517241	0.0	0.1724137931034483	0.1206896551724138	0.5833333333333334	0.6551724137931034	0.603448275862069	0.0	0.1724137931034483	0.1206896551724138	0.5	0.6551724137931034	0.5862068965517241	0.0	0.13793103448275862	0.10344827586206896	0.5833333333333334	0.6206896551724138	0.603448275862069	0.0	0.1724137931034483	0.1206896551724138	0.5	0.6551724137931034	0.603448275862069	0.1724137931034483	0.6551724137931034	0.1206896551724138	0.603448275862069
7	12	29	58	False	0.08333333333333333	0.1724137931034483	0.1206896551724138	0.5	0.7586206896551724	0.5862068965517241	0.08333333333333333	0.1724137931034483	0.1206896551724138	0.5833333333333334	0.7586206896551724	0.603448275862069	0.08333333333333333	0.1724137931034483	0.1206896551724138	0.5	0.7586206896551724	0.5862068965517241	0.08333333333333333	0.1724137931034483	0.10344827586206896	0.5833333333333334	0.7586206896551724	0.603448275862069	0.08333333333333333	0.1724137931034483	0.1206896551724138	0.5	0.7931034482758621	0.603448275862069	0.1724137931034483	0.7931034482758621	0.1206896551724138	0.603448275862069
8	12	29	58	False	0.08333333333333333	0.10344827586206896	0.1206896551724138	0.6666666666666666	0.5862068965517241	0.5862068965517241	0.08333333333333333	0.10344827586206896	0.1206896551724138	0.6666666666666666	0.6206896551724138	0.603448275862069	0.08333333333333333	0.10344827586206896	0.1206896551724138	0.6666666666666666	0.5862068965517241	0.5862068965517241	0.08333333333333333	0.10344827586206896	0.10344827586206896	0.5833333333333334	0.6551724137931034	0.603448275862069	0.08333333333333333	0.10344827586206896	0.1206896551724138	0.6666666666666666	0.6206896551724138	0.603448275862069	0.10344827586206896	0.6551724137931034	0.1206896551724138	0.603448275862069
9	12	29	58	False	0.08333333333333333	0.1724137931034483	0.1206896551724138	0.5833333333333334	0.6206896551724138	0.5862068965517241	0.08333333333333333	0.1724137931034483	0.1206896551724138	0.5833333333333334	0.6551724137931034	0.603448275862069	0.08333333333333333	0.1724137931034483	0.1206896551724138	0.5833333333333334	0.6206896551724138	0.5862068965517241	0.08333333333333333	0.13793103448275862	0.10344827586206896	0.5833333333333334	0.5862068965517241	0.603448275862069	0.08333333333333333	0.1724137931034483	0.1206896551724138	0.5833333333333334	0.6206896551724138	0.603448275862069	0.1724137931034483	0.6551724137931034	0.1206896551724138	0.603448275862069
10	12	29	58	False	0.25	0.034482758620689655	0.1206896551724138	0.75	0.4827586206896552	0.5862068965517241	0.25	0.034482758620689655	0.1206896551724138	0.75	0.5172413793103449	0.603448275862069	0.25	0.034482758620689655	0.1206896551724138	0.75	0.4827586206896552	0.5862068965517241	0.25	0.0	0.10344827586206896	0.75	0.5172413793103449	0.603448275862069	0.25	0.034482758620689655	0.1206896551724138	0.75	0.5172413793103449	0.603448275862069	0.034482758620689655	0.5172413793103449	0.1206896551724138	0.603448275862069
